,BS_IS_REINFORCE_reward,Iteration,BS_CA_REINFORCE_reward,CA_IS_REINFORCE_reward
0,-0.006666666999999999,0,0.139666667,0.20866666666666667
1,0.033333333,1,0.287,0.9663333333333334
2,0.043333332999999995,2,0.622,1.61
3,0.107,3,1.014,1.7773333333333334
4,0.161666667,4,1.249666667,1.8176666666666668
5,0.238333333,5,1.382333333,1.7846666666666666
6,0.29333333300000003,6,1.4180000000000001,1.8333333333333333
7,0.43799999999999994,7,1.533333333,1.8206666666666667
8,0.48466666700000005,8,1.7036666669999998,1.8656666666666666
9,0.598,9,1.749,1.8576666666666666
10,0.717333333,10,1.8333333330000001,1.851
11,0.935666667,11,1.753333333,1.9043333333333334
12,1.091,12,1.8090000000000002,1.8596666666666666
13,1.2919999999999998,13,1.795,1.8786666666666667
14,1.390333333,14,1.825,1.903
15,1.5419999999999998,15,1.7823333330000002,1.9073333333333333
16,1.6680000000000001,16,1.815333333,1.9233333333333333
17,1.6173333330000002,17,1.869,1.9176666666666666
18,1.653666667,18,1.8886666669999999,1.91
19,1.7236666669999998,19,1.8793333330000002,1.8813333333333333
20,1.7176666669999998,20,1.87,1.919
21,1.752666667,21,1.8453333330000001,1.913
22,1.8,22,1.8446666669999998,1.9006666666666667
23,1.728666667,23,1.8559999999999999,1.89
24,1.7463333330000002,24,1.854,1.883
25,1.7730000000000001,25,1.852333333,1.9223333333333332
26,1.791,26,1.859,1.9166666666666667
27,1.764,27,1.807333333,1.9263333333333332
28,1.79,28,1.7796666669999999,1.9096666666666666
29,1.743333333,29,1.8633333330000001,1.923
30,1.806,30,1.845,1.9026666666666667
31,1.821,31,1.843666667,1.8966666666666667
32,1.797,32,1.8566666669999998,1.9066666666666667
33,1.814,33,1.8746666669999998,1.9366666666666668
34,1.8430000000000002,34,1.8573333330000001,1.8866666666666667
35,1.8030000000000002,35,1.835,1.915
36,1.809333333,36,1.873666667,1.9133333333333333
37,1.813333333,37,1.8333333330000001,1.9066666666666667
38,1.8559999999999999,38,1.835666667,1.9033333333333333
39,1.8286666669999998,39,1.843666667,1.9
40,1.8586666669999998,40,1.8493333330000001,1.9166666666666667
41,1.8530000000000002,41,1.8630000000000002,1.91
42,1.8533333330000001,42,1.8733333330000002,1.933
43,1.838,43,1.872333333,1.9233333333333333
44,1.8530000000000002,44,1.879666667,1.8933333333333333
45,1.815,45,1.906333333,1.9166666666666667
46,1.801,46,1.8459999999999999,1.92
47,1.817666667,47,1.869666667,1.9033333333333333
48,1.821333333,48,1.8846666669999999,1.8933333333333333
49,1.86,49,1.8453333330000001,1.9066666666666667
50,1.848,50,1.875666667,1.9233333333333333
51,1.831,51,1.8286666669999998,1.9
52,1.867,52,1.8846666669999999,1.9033333333333333
53,1.8626666669999998,53,1.8953333330000002,1.9066666666666667
54,1.875666667,54,1.8686666669999998,1.9233333333333333
55,1.8659999999999999,55,1.9006666669999999,1.923
56,1.869,56,1.869,1.9133333333333333
57,1.8513333330000001,57,1.879666667,1.9133333333333333
58,1.8746666669999998,58,1.8633333330000001,1.9033333333333333
59,1.880333333,59,1.8826666669999998,1.89
60,1.8866666669999999,60,1.876,1.9266666666666667
61,1.8613333330000001,61,1.872333333,1.9133333333333333
62,1.8573333330000001,62,1.851666667,1.92
63,1.861,63,1.883,1.9066666666666667
64,1.883,64,1.881666667,1.8966666666666667
65,1.88,65,1.8906666669999999,1.8966666666666667
66,1.8713333330000002,66,1.858,1.903
67,1.8753333330000002,67,1.8906666669999999,1.9033333333333333
68,1.8553333330000001,68,1.858,1.9166666666666667
69,1.8846666669999999,69,1.869,1.9233333333333333
70,1.8693333330000002,70,1.88,1.94
71,1.8533333330000001,71,1.89,1.8966666666666667
72,1.868,72,1.854333333,1.9396666666666667
73,1.873666667,73,1.8530000000000002,1.94
74,1.89,74,1.866333333,1.9333333333333333
75,1.859666667,75,1.8666666669999998,1.9066666666666667
76,1.8333333330000001,76,1.8773333330000002,1.8966666666666667
77,1.893,77,1.8666666669999998,1.9233333333333333
78,1.883666667,78,1.906333333,1.9333333333333333
79,1.8780000000000001,79,1.8933333330000002,1.91
80,1.887666667,80,1.8793333330000002,1.9433333333333334
81,1.89,81,1.8906666669999999,1.92
82,1.879,82,1.9040000000000001,1.9233333333333333
83,1.873666667,83,1.8730000000000002,1.9133333333333333
84,1.896,84,1.896333333,1.9066666666666667
85,1.8940000000000001,85,1.9,1.8933333333333333
86,1.82,86,1.901666667,1.92
87,1.8546666669999998,87,1.898333333,1.8933333333333333
88,1.912,88,1.932666667,1.9096666666666666
89,1.8846666669999999,89,1.9126666669999999,1.9233333333333333
90,1.896,90,1.9040000000000001,1.88
91,1.8486666669999998,91,1.932666667,1.93
92,1.869666667,92,1.9033333330000002,1.92
93,1.9080000000000001,93,1.8659999999999999,1.9153333333333333
94,1.867,94,1.9066666669999999,1.93
95,1.868333333,95,1.9293333330000002,1.91
96,1.893666667,96,1.902333333,1.9116666666666666
97,1.8906666669999999,97,1.9153333330000002,1.9333333333333333
98,1.8746666669999998,98,1.882333333,1.9166666666666667
99,1.8873333330000002,99,1.902333333,1.92
