Iteration,REINFORCE_reward,OLD_REINFORCE_reward
153,1.915,1.530333333
154,1.929666667,1.498666667
155,1.908,1.565
156,1.926666667,1.503666667
157,1.886333333,1.569333333
158,1.906666667,1.589
159,1.931666667,1.537666667
160,1.905,1.534
161,1.883333333,1.529333333
162,1.911666667,1.563333333
163,1.923333333,1.582333333
164,1.931666667,1.566333333
165,1.895,1.519
166,1.914666667,1.576
167,1.869333333,1.520333333
168,1.891666667,1.596333333
169,1.895,1.595666667
170,1.928333333,1.576
171,1.881666667,1.577
172,1.908333333,1.613333333
173,1.896666667,1.577333333
174,1.906666667,1.565
175,1.92,1.665
176,1.914666667,1.618666667
177,1.9,1.661333333
178,1.913333333,1.630333333
179,1.893333333,1.567
180,1.893333333,1.641
181,1.905,1.646333333
182,1.933333333,1.658333333
183,1.915,1.608333333
184,1.925,1.635666667
185,1.925,1.578
186,1.92,1.616666667
187,1.883333333,1.669666667
188,1.924666667,1.648333333
189,1.888333333,1.642666667
190,1.94,1.663666667
191,1.928333333,1.655
192,1.896666667,1.649333333
193,1.903333333,1.66
194,1.926666667,1.628
195,1.893333333,1.666666667
196,1.881666667,1.738
197,1.911666667,1.728666667
198,1.911333333,1.677333333
199,1.896666667,1.665666667
200,1.865,1.669666667
201,1.916666667,1.662666667
202,1.89,1.713333333
203,1.913333333,1.654333333
204,1.918333333,1.696666667
205,1.933333333,1.617666667
206,1.905,1.711
207,1.906666667,1.692666667
208,1.9,1.698666667
209,1.878,1.693
210,1.921666667,1.678666667
211,1.905,1.701666667
212,1.926666667,1.703
213,1.895,1.632
214,1.906666667,1.704
215,1.885,1.713
216,1.905,1.686333333
217,1.908333333,1.728
218,1.898333333,1.731
219,1.903333333,1.757333333
220,1.936666667,1.714333333
221,1.931666667,1.677
222,1.918333333,1.772333333
223,1.885,1.705
224,1.89,1.705666667
225,1.9,1.694333333
226,1.933333333,1.817666667
227,1.893333333,1.725333333
228,1.921666667,1.769666667
229,1.903333333,1.720333333
230,1.886666667,1.823
231,1.893333333,1.754333333
232,1.926666667,1.724666667
233,1.89,1.72
234,1.898333333,1.753
235,1.885,1.704666667
236,1.896666667,1.717333333
237,1.923333333,1.819
238,1.901666667,1.732
239,1.898333333,1.758333333
240,1.911666667,1.773666667
241,1.923333333,1.718666667
242,1.891666667,1.760666667
243,1.921666667,1.763
244,1.928333333,1.739666667
245,1.911666667,1.727333333
246,1.898333333,1.773666667
247,1.901666667,1.784
248,1.915,1.757
249,1.896666667,1.780666667
250,1.915,1.747666667
251,1.915,1.747333333
252,1.905,1.752333333
253,1.896666667,1.738333333
254,1.918333333,1.789666667
255,1.895,1.753
256,1.901666667,1.756666667
257,1.905,1.790333333
258,1.915,1.723333333
259,1.905,1.800333333
260,1.911666667,1.751333333
261,1.94,1.734333333
262,1.9,1.747
263,1.891666667,1.722333333
264,1.9,1.768333333
265,1.908333333,1.787333333
266,1.898333333,1.748333333
267,1.898333333,1.780666667
268,1.921666667,1.743666667
269,1.918333333,1.849
270,1.896666667,1.775
271,1.883333333,1.73
272,1.89,1.768
273,1.941666667,1.734333333
274,1.903333333,1.754333333
275,1.905,1.727666667
276,1.89,1.807666667
277,1.91,1.727
278,1.926666667,1.822666667
279,1.891666667,1.787
280,1.888,1.760333333
281,1.89,1.788666667
282,1.896666667,1.706666667
283,1.906333333,1.766666667
284,1.889666667,1.765666667
285,1.905,1.809666667
286,1.936666667,1.776333333
287,1.891666667,1.707666667
288,1.908333333,1.754333333
289,1.871666667,1.762
290,1.888,1.766
291,1.899666667,1.794
292,1.901333333,1.792666667
293,1.901666667,1.786666667
294,1.925,1.816333333
295,1.911666667,1.783333333
296,1.906666667,1.758333333
297,1.908333333,1.776333333
298,1.918333333,1.824666667
299,1.906666667,1.732
